source,etype,target,time,date
727399,0,727402,1042747,2015-05-23 15:39:07
727399,0,712049,1060258,2015-05-23 20:30:58
719283,0,727399,1060261,2015-05-23 20:31:01
722119,0,727399,1204477,2015-05-25 12:34:37
727399,0,717484,1427703,2015-05-28 02:35:03
714065,0,727399,1497637,2015-05-28 22:00:37
713767,0,727399,1619524,2015-05-30 07:52:04
727399,0,712990,1829200,2015-06-01 18:06:40
727399,0,714807,1893592,2015-06-02 11:59:52
705454,0,727399,1893624,2015-06-02 12:00:24
729313,0,727399,1974711,2015-06-03 10:31:51
729608,0,727399,2015077,2015-06-03 21:44:37
727399,0,713701,2015144,2015-06-03 21:45:44
713284,0,727399,2143283,2015-06-05 09:21:23
727399,0,718958,2143311,2015-06-05 09:21:51
727399,0,707476,2149279,2015-06-05 11:01:19
713701,0,727399,2149324,2015-06-05 11:02:04
727399,0,703295,2415758,2015-06-08 13:02:38
727399,0,716893,2415767,2015-06-08 13:02:47
727399,0,718577,2486567,2015-06-09 08:42:47
706409,0,727399,2572133,2015-06-10 08:28:53
727399,0,715559,2609954,2015-06-10 18:59:14
727399,0,732061,2706022,2015-06-11 21:40:22
718209,0,727399,2968038,2015-06-14 22:27:18
710465,0,727399,2968124,2015-06-14 22:28:44
727399,0,717973,3088982,2015-06-16 08:03:02
727399,0,714729,3088990,2015-06-16 08:03:10
697508,0,727399,3181354,2015-06-17 09:42:34
727399,0,713855,3181364,2015-06-17 09:42:44
727399,0,692518,3227497,2015-06-17 22:31:37
727399,0,711165,3546732,2015-06-21 15:12:12
727399,0,718110,3546733,2015-06-21 15:12:13
727399,0,695941,3791798,2015-06-24 11:16:38
701024,0,727399,3791818,2015-06-24 11:16:58
712350,0,727399,3800350,2015-06-24 13:39:10
714225,0,727399,4093893,2015-06-27 23:11:33
727399,0,712435,4115827,2015-06-28 05:17:07
727399,0,741189,4115858,2015-06-28 05:17:38
727399,0,698001,4161171,2015-06-28 17:52:51
727399,0,715768,4339409,2015-06-30 19:23:29
731521,0,727399,4339439,2015-06-30 19:23:59
727399,0,713958,5183175,2015-07-10 13:46:15
691889,0,727399,5417965,2015-07-13 06:59:25
707902,0,727399,5440386,2015-07-13 13:13:06
693078,0,727399,5739762,2015-07-17 00:22:42
690045,0,727399,6082025,2015-07-20 23:27:05
720216,0,727399,6228124,2015-07-22 16:02:04
712653,0,727399,6414185,2015-07-24 19:43:05
712739,0,727399,6632549,2015-07-27 08:22:29
726911,0,727399,6755382,2015-07-28 18:29:42
270116,0,727399,6755391,2015-07-28 18:29:51
695022,0,727399,6831644,2015-07-29 15:40:44
727399,0,713489,6831715,2015-07-29 15:41:55
727399,0,717288,6905843,2015-07-30 12:17:23
714643,0,727399,7112303,2015-08-01 21:38:23
727399,0,693781,7112360,2015-08-01 21:39:20
724277,0,727399,7328892,2015-08-04 09:48:12
715205,0,727399,7496152,2015-08-06 08:15:52
698213,0,727399,7643948,2015-08-08 01:19:08
684404,0,727399,7740692,2015-08-09 04:11:32
727399,0,707917,7740719,2015-08-09 04:11:59
727399,0,720095,8009919,2015-08-12 06:58:39
718041,0,727399,8092208,2015-08-13 05:50:08
727399,0,701393,8092217,2015-08-13 05:50:17
727399,0,706164,8150589,2015-08-13 22:03:09
740938,0,727399,8593588,2015-08-19 01:06:28
727399,1,714007,1042728,2015-05-23 15:38:48
720331,1,727399,1043694,2015-05-23 15:54:54
727399,1,715008,1073153,2015-05-24 00:05:53
709585,1,727399,1073155,2015-05-24 00:05:55
727399,1,1376868,1166956,2015-05-25 02:09:16
727399,1,714752,1204476,2015-05-25 12:34:36
713266,1,727399,1260091,2015-05-26 04:01:31
713366,1,727399,1322095,2015-05-26 21:14:55
706527,1,727399,1328689,2015-05-26 23:04:49
724317,1,727399,1328767,2015-05-26 23:06:07
727399,1,704768,1398180,2015-05-27 18:23:00
701960,1,727399,1523634,2015-05-29 05:13:54
714265,1,727399,1605420,2015-05-30 03:57:00
720915,1,727399,1605427,2015-05-30 03:57:07
727399,1,705512,1619525,2015-05-30 07:52:05
712686,1,727399,1718662,2015-05-31 11:24:22
727399,1,718876,1838106,2015-06-01 20:35:06
727399,1,713997,1905956,2015-06-02 15:25:56
707259,1,727399,1905986,2015-06-02 15:26:26
727399,1,696261,1974722,2015-06-03 10:32:02
727399,1,725814,2126759,2015-06-05 04:45:59
727399,1,728144,2126821,2015-06-05 04:47:01
691996,1,727399,2241970,2015-06-06 12:46:10
727399,1,697902,2313034,2015-06-07 08:30:34
727399,1,710850,2369681,2015-06-08 00:14:41
713012,1,727399,2369732,2015-06-08 00:15:32
727399,1,705655,2486527,2015-06-09 08:42:07
727399,1,719554,2609967,2015-06-10 18:59:27
727784,1,727399,2632163,2015-06-11 01:09:23
714501,1,727399,2706070,2015-06-11 21:41:10
709062,1,727399,2769390,2015-06-12 15:16:30
727399,1,691996,2769410,2015-06-12 15:16:50
713474,1,727399,3114103,2015-06-16 15:01:43
727399,1,692810,3114114,2015-06-16 15:01:54
722448,1,727399,3136030,2015-06-16 21:07:10
727399,1,715231,3224726,2015-06-17 21:45:26
717115,1,727399,3224751,2015-06-17 21:45:51
698466,1,727399,3227488,2015-06-17 22:31:28
727399,1,695509,3273881,2015-06-18 11:24:41
708498,1,727399,3293087,2015-06-18 16:44:47
727399,1,722968,3704585,2015-06-23 11:03:05
705229,1,727399,3796661,2015-06-24 12:37:41
727399,1,712400,3796717,2015-06-24 12:38:37
727399,1,713639,3800421,2015-06-24 13:40:21
727399,1,730652,4161145,2015-06-28 17:52:25
715107,1,727399,4503954,2015-07-02 17:05:54
727399,1,711011,4524667,2015-07-02 22:51:07
727781,1,727399,4551569,2015-07-03 06:19:29
693655,1,727399,4738457,2015-07-05 10:14:17
696468,1,727399,4772234,2015-07-05 19:37:14
727399,1,695399,4772249,2015-07-05 19:37:29
727399,1,737222,4803684,2015-07-06 04:21:24
