source,etype,target,date
695013,0,913857,2017-06-04 05:36:41
695013,0,575746,2017-06-06 00:31:29
695013,0,863871,2017-06-12 06:00:40
711600,0,695013,2017-06-29 22:32:52
548633,0,695013,2017-07-02 02:37:06
657829,0,695013,2017-07-04 22:05:30
708830,0,695013,2017-07-04 22:06:20
711345,0,695013,2017-07-16 21:31:36
695013,0,1147062,2017-07-20 08:05:29
549799,1,695013,2017-06-04 05:35:30
783194,1,695013,2017-06-06 00:31:53
738453,1,695013,2017-06-08 15:18:38
695013,1,888359,2017-06-08 15:19:16
714773,1,695013,2017-06-12 06:00:05
758819,1,695013,2017-06-13 23:02:45
695013,1,713814,2017-06-14 14:43:52
719570,1,695013,2017-06-14 14:44:30
855978,1,695013,2017-06-18 16:00:27
695013,1,820283,2017-06-18 16:01:14
695013,1,526409,2017-06-20 21:41:00
712753,1,695013,2017-06-20 21:41:06
706072,1,695013,2017-06-29 22:31:33
736727,1,695013,2017-07-01 23:01:31
695013,1,919773,2017-07-02 02:36:04
876359,1,695013,2017-07-10 05:56:48
695013,1,665290,2017-07-17 20:01:58
958553,1,695013,2017-07-17 20:02:23
713701,1,695013,2017-07-21 20:21:08
695013,1,733027,2017-07-21 21:14:11
545564,1,695013,2017-07-21 21:14:22
695013,2,2040339,2017-06-12 06:00:40
695013,2,2037860,2017-06-21 08:05:29
