source,etype,target,time,date
1172172,0,546332,68149724,2017-07-08 08:28:44
758683,0,1172172,69688262,2017-07-26 03:51:02
758683,0,1172172,69774662,2017-07-27 03:51:02
1172172,0,447025,69890582,2017-07-28 12:03:02
1172172,0,758683,70552262,2017-08-05 03:51:02
758683,0,1172172,70638662,2017-08-06 03:51:02
1172172,0,758683,70638662,2017-08-06 03:51:02
1172172,0,725972,71402203,2017-08-14 23:56:43
771980,0,1172172,71402223,2017-08-14 23:57:03
1172172,0,801125,71783977,2017-08-19 09:59:37
758683,0,1172172,73230662,2017-09-05 03:51:02
758683,0,1172172,73317062,2017-09-06 03:51:02
758683,0,1172172,73489862,2017-09-08 03:51:02
559348,0,1172172,74886899,2017-09-24 07:54:59
713743,0,1172172,74886987,2017-09-24 07:56:27
1172172,0,774844,76016345,2017-10-07 09:39:05
1172172,1,713468,66612203,2017-06-20 13:23:23
1172172,1,723688,66713835,2017-06-21 17:37:15
1172172,1,577835,67704101,2017-07-03 04:41:41
564953,1,1172172,67704125,2017-07-03 04:42:05
1172172,1,726096,68149658,2017-07-08 08:27:38
1172172,1,695422,70513426,2017-08-04 17:03:46
709993,1,1172172,70513433,2017-08-04 17:03:53
553974,1,1172172,71783998,2017-08-19 09:59:58
1026159,1,1172172,73145478,2017-09-04 04:11:18
1172172,1,713275,73145521,2017-09-04 04:12:01
737181,1,1172172,73212572,2017-09-04 22:49:32
1172172,1,674826,74512160,2017-09-19 23:49:20
960443,1,1172172,74593866,2017-09-20 22:31:06
1172172,1,720487,76016374,2017-10-07 09:39:34
1172172,2,2040565,71402203,2017-08-14 23:56:43
1172172,2,2040565,71783977,2017-08-19 09:59:37
