source,etype,target,time,date
728286,0,1847246,74056423,2017-09-14 17:13:43
1847246,0,728286,74056423,2017-09-14 17:13:43
728286,0,1847246,74525933,2017-09-20 03:38:53
1847246,0,728286,74525933,2017-09-20 03:38:53
728286,0,1847246,74560423,2017-09-20 13:13:43
728286,0,1847246,74698733,2017-09-22 03:38:53
1847246,0,728286,74785133,2017-09-23 03:38:53
1847246,0,728286,74871533,2017-09-24 03:38:53
1847246,0,728286,75044333,2017-09-26 03:38:53
1847246,0,728286,75303533,2017-09-29 03:38:53
728286,1,1847246,74061123,2017-09-14 18:32:03
728286,1,1847246,74069853,2017-09-14 20:57:33
1847246,1,728286,74356423,2017-09-18 04:33:43
1847246,1,728286,74556423,2017-09-20 12:07:03
