source,etype,target,date
707614,0,709062,2016-06-10 13:07:32
728731,0,707614,2016-06-12 00:33:33
671717,0,707614,2016-06-12 01:40:42
707614,0,734088,2016-06-12 01:41:21
707614,0,713070,2016-06-12 12:39:19
707614,0,710902,2016-06-14 14:48:50
707614,0,577544,2016-06-15 02:26:01
707614,0,779504,2016-06-15 23:11:25
622228,0,707614,2016-06-15 23:12:36
711464,0,707614,2016-06-17 06:43:54
715819,0,707614,2016-06-17 10:43:38
707614,0,669267,2016-06-21 16:17:39
708175,0,707614,2016-06-24 02:08:25
707614,0,575548,2016-06-24 02:09:24
747357,0,707614,2016-06-24 20:15:48
707614,0,716145,2016-06-26 02:52:01
712620,0,707614,2016-06-26 02:52:17
707614,0,756144,2016-06-28 02:23:46
707614,0,752843,2016-06-28 02:23:54
707614,0,695160,2016-07-02 03:52:21
707614,0,611545,2016-07-03 17:42:41
550340,0,707614,2016-07-03 21:29:04
706069,0,707614,2016-07-05 00:29:18
707614,0,696999,2016-07-05 00:29:48
707614,0,625744,2016-07-09 13:23:20
707614,0,763980,2016-07-09 14:18:20
707614,0,786513,2016-07-10 02:48:46
665394,0,707614,2016-07-17 20:26:33
707614,0,757253,2016-07-17 20:26:47
707614,0,604403,2016-07-18 04:29:01
713563,0,707614,2016-07-18 04:29:44
707614,0,714083,2016-07-19 14:05:49
804414,0,707614,2016-07-19 14:05:58
714065,0,707614,2016-07-20 04:18:40
657187,0,707614,2016-07-20 12:04:49
707614,0,735028,2016-07-20 12:06:09
708262,0,707614,2016-07-20 17:40:43
707614,0,714046,2016-07-20 17:41:28
707614,0,708959,2016-07-25 05:10:27
727160,0,707614,2016-07-25 05:10:36
689890,0,707614,2016-07-26 18:08:40
707614,0,712680,2016-07-31 10:18:11
707614,0,795194,2016-08-01 08:40:31
707614,0,713701,2016-08-04 04:22:00
725265,0,707614,2016-08-05 13:59:37
580093,0,707614,2016-08-05 22:53:22
707614,0,719454,2016-08-05 22:54:02
734545,0,707614,2016-08-08 02:48:01
707614,1,674957,2016-06-09 05:30:55
453567,1,707614,2016-06-09 05:31:46
738278,1,707614,2016-06-10 13:06:43
689071,1,707614,2016-06-11 07:53:11
707614,1,674809,2016-06-12 12:38:40
713687,1,707614,2016-06-12 22:16:43
714496,1,707614,2016-06-14 14:48:18
707614,1,717259,2016-06-15 02:27:08
748038,1,707614,2016-06-17 01:25:06
740477,1,707614,2016-06-17 06:44:30
707614,1,722320,2016-06-17 10:43:15
697267,1,707614,2016-06-20 02:35:33
639557,1,707614,2016-06-20 08:00:14
707614,1,686779,2016-06-20 08:01:23
281834,1,707614,2016-06-20 15:41:12
705283,1,707614,2016-06-21 04:15:40
707614,1,710770,2016-06-21 04:16:13
700126,1,707614,2016-06-21 16:18:21
718251,1,707614,2016-06-21 23:33:10
711221,1,707614,2016-06-23 23:09:51
707614,1,43486,2016-06-23 23:10:03
707614,1,730901,2016-06-24 16:41:15
713805,1,707614,2016-06-24 16:42:06
707614,1,637912,2016-06-24 20:14:59
707614,1,723163,2016-06-26 02:05:33
714915,1,707614,2016-06-26 02:21:25
707614,1,639456,2016-06-26 02:21:47
764142,1,707614,2016-06-26 08:29:45
707614,1,698812,2016-06-26 20:35:38
777478,1,707614,2016-07-02 05:42:54
710217,1,707614,2016-07-02 05:43:34
680578,1,707614,2016-07-02 21:00:48
707614,1,565165,2016-07-02 21:01:17
796803,1,707614,2016-07-03 17:42:38
707614,1,763241,2016-07-06 12:34:08
707614,1,732193,2016-07-08 02:11:21
662038,1,707614,2016-07-08 09:40:56
551660,1,707614,2016-07-09 13:23:17
695316,1,707614,2016-07-09 14:18:14
711147,1,707614,2016-07-10 02:48:57
672253,1,707614,2016-07-10 18:17:57
789060,1,707614,2016-07-11 10:41:16
707614,1,747984,2016-07-13 04:55:03
707614,1,630780,2016-07-13 04:55:08
707614,1,677323,2016-07-14 13:20:45
707614,1,750991,2016-07-14 13:20:53
569231,1,707614,2016-07-15 14:54:37
707614,1,775720,2016-07-17 13:25:50
593819,1,707614,2016-07-17 13:27:00
707614,1,717351,2016-07-20 04:19:25
707614,1,716869,2016-07-23 18:01:02
713892,1,707614,2016-07-24 11:28:47
707614,1,710335,2016-07-24 11:29:06
784060,1,707614,2016-07-25 07:00:14
707614,1,712955,2016-07-25 07:00:17
707614,1,717678,2016-07-26 18:07:31
707614,1,663910,2016-07-28 00:43:39
736300,1,707614,2016-07-28 00:43:57
707614,1,778352,2016-07-29 18:10:23
713968,1,707614,2016-07-31 10:18:55
707614,1,683668,2016-08-01 08:40:32
786125,1,707614,2016-08-03 14:04:04
707614,1,695536,2016-08-04 04:22:38
707614,1,714654,2016-08-04 15:35:26
688682,1,707614,2016-08-04 15:35:30
707614,1,609827,2016-08-05 13:59:49
675316,1,707614,2016-08-07 13:29:44
707614,1,611707,2016-08-07 15:59:42
707614,1,580003,2016-08-08 02:47:12
707614,2,2040565,2016-06-15 23:11:25
707614,2,2040565,2016-07-03 17:42:41
707614,2,2038086,2016-07-10 02:48:46
707614,2,2040565,2016-07-25 05:10:27
