source,etype,target,date
578795,0,720233,2017-11-24 06:16:48
720233,0,552475,2017-11-24 06:17:21
720233,0,178026,2017-11-28 23:35:00
716499,0,720233,2017-11-29 19:47:33
720233,0,713154,2017-12-04 09:13:22
669784,0,720233,2017-12-04 15:03:35
720233,0,967476,2017-12-04 15:03:52
720233,0,712567,2017-12-05 10:47:29
528750,0,720233,2017-12-06 23:03:54
720233,0,964144,2017-12-11 15:22:34
709379,0,720233,2017-12-11 18:51:23
720233,0,706961,2017-12-11 18:52:07
720233,0,948122,2017-12-12 16:14:11
720233,0,683775,2017-12-15 14:12:41
720233,0,678478,2017-12-18 17:10:22
1010320,0,720233,2017-12-18 17:10:22
720233,0,687257,2017-12-22 17:20:09
794458,0,720233,2017-12-22 17:21:36
720233,1,965325,2017-11-15 18:01:52
713743,1,720233,2017-11-15 18:02:10
640357,1,720233,2017-11-16 19:41:40
687328,1,720233,2017-11-20 00:52:49
720233,1,786585,2017-11-20 00:52:50
720618,1,720233,2017-11-28 05:31:26
720233,1,735833,2017-11-29 19:48:06
702075,1,720233,2017-12-01 12:18:11
596268,1,720233,2017-12-05 10:48:03
720233,1,620450,2017-12-05 16:37:55
835931,1,720233,2017-12-05 16:38:05
720233,1,665720,2017-12-06 23:03:24
738153,1,720233,2017-12-11 15:22:45
739539,1,720233,2017-12-12 16:13:59
758720,1,720233,2017-12-15 14:12:44
1376868,1,720233,2017-12-17 11:16:34
720233,1,601542,2017-12-18 03:08:16
720233,1,555873,2017-12-21 20:12:39
724348,1,720233,2017-12-21 20:13:54
720233,2,2038031,2017-12-15 14:12:41
