source,etype,target,time,date
725449,0,725450,926683,2015-05-22 07:24:43
725450,0,713429,1058287,2015-05-23 19:58:07
725450,0,716872,1101089,2015-05-24 07:51:29
725450,0,712821,1108038,2015-05-24 09:47:18
723639,0,725450,1108082,2015-05-24 09:48:02
711954,0,725450,1128766,2015-05-24 15:32:46
718710,0,725450,1352581,2015-05-27 05:43:01
713743,0,725450,1414279,2015-05-27 22:51:19
725450,0,712849,1627048,2015-05-30 09:57:28
725450,0,712948,1808705,2015-06-01 12:25:05
708396,0,725450,1808729,2015-06-01 12:25:29
715379,0,725450,1889617,2015-06-02 10:53:37
702956,0,725450,1913676,2015-06-02 17:34:36
706128,0,725450,1967597,2015-06-03 08:33:17
725450,0,720114,1967602,2015-06-03 08:33:22
725450,0,719154,2014230,2015-06-03 21:30:30
693955,0,725450,2014243,2015-06-03 21:30:43
713400,0,725450,2243044,2015-06-06 13:04:04
725450,0,700331,2243068,2015-06-06 13:04:28
719332,0,725450,3012792,2015-06-15 10:53:12
725450,0,732689,3012829,2015-06-15 10:53:49
725450,0,708051,3377637,2015-06-19 16:13:57
718935,0,725450,3478039,2015-06-20 20:07:19
716499,0,725450,3509605,2015-06-21 04:53:25
721039,0,725450,3520674,2015-06-21 07:57:54
725450,0,713814,3672678,2015-06-23 02:11:18
699707,0,725450,3672763,2015-06-23 02:12:43
725450,0,714284,3751079,2015-06-23 23:57:59
691604,0,725450,3760166,2015-06-24 02:29:26
725450,0,737042,4013560,2015-06-27 00:52:40
715074,0,725450,4054302,2015-06-27 12:11:42
711612,0,725450,4067188,2015-06-27 15:46:28
704636,0,725450,4153365,2015-06-28 15:42:45
725450,0,709512,4153435,2015-06-28 15:43:55
725450,0,702724,4174328,2015-06-28 21:32:08
713639,0,725450,4174369,2015-06-28 21:32:49
712896,0,725450,4338893,2015-06-30 19:14:53
719154,0,725450,4713541,2015-07-05 03:19:01
725450,0,292073,4713578,2015-07-05 03:19:38
725450,0,719823,4777290,2015-07-05 21:01:30
725450,0,717775,5018483,2015-07-08 16:01:23
725450,0,702661,5018561,2015-07-08 16:02:41
724567,0,725450,5148819,2015-07-10 04:13:39
725450,0,691796,5679082,2015-07-16 07:31:22
701287,0,725450,5732372,2015-07-16 22:19:32
725450,0,718272,5732385,2015-07-16 22:19:45
722901,0,725450,6107894,2015-07-21 06:38:14
725450,0,694687,6107899,2015-07-21 06:38:19
725450,0,737952,6593739,2015-07-26 21:35:39
725450,0,240292,6593787,2015-07-26 21:36:27
725450,0,678121,6621750,2015-07-27 05:22:30
710509,0,725450,7216557,2015-08-03 02:35:57
725450,0,731111,7296268,2015-08-04 00:44:28
725450,1,713165,926628,2015-05-22 07:23:48
713919,1,725450,937689,2015-05-22 10:28:09
715459,1,725450,937768,2015-05-22 10:29:28
725450,1,713639,960202,2015-05-22 16:43:22
712481,1,725450,976736,2015-05-22 21:18:56
707378,1,725450,976809,2015-05-22 21:20:09
718800,1,725450,1058230,2015-05-23 19:57:10
726629,1,725450,1062800,2015-05-23 21:13:20
715445,1,725450,1101031,2015-05-24 07:50:31
713958,1,725450,1140695,2015-05-24 18:51:35
713639,1,725450,1189044,2015-05-25 08:17:24
714585,1,725450,1194020,2015-05-25 09:40:20
725450,1,717245,1291297,2015-05-26 12:41:37
702283,1,725450,1291362,2015-05-26 12:42:42
725450,1,708665,1352596,2015-05-27 05:43:16
712340,1,725450,1560192,2015-05-29 15:23:12
725450,1,716456,1560202,2015-05-29 15:23:22
713716,1,725450,1627043,2015-05-30 09:57:23
703892,1,725450,1738435,2015-05-31 16:53:55
725450,1,710474,1795746,2015-06-01 08:49:06
725450,1,715775,1856064,2015-06-02 01:34:24
695605,1,725450,1885199,2015-06-02 09:39:59
725450,1,704238,1889575,2015-06-02 10:52:55
725450,1,712148,1913718,2015-06-02 17:35:18
725450,1,712329,2036576,2015-06-04 03:42:56
725450,1,698081,2094311,2015-06-04 19:45:11
725450,1,708501,2094346,2015-06-04 19:45:46
699847,1,725450,2157536,2015-06-05 13:18:56
723367,1,725450,2362536,2015-06-07 22:15:36
726699,1,725450,2473107,2015-06-09 04:58:27
725450,1,1376868,2604549,2015-06-10 17:29:09
704710,1,725450,2607870,2015-06-10 18:24:30
726323,1,725450,2968692,2015-06-14 22:38:12
720863,1,725450,3286486,2015-06-18 14:54:46
725450,1,711116,3377601,2015-06-19 16:13:21
725450,1,714361,3477979,2015-06-20 20:06:19
725450,1,713725,3497492,2015-06-21 01:31:32
725450,1,711789,3520682,2015-06-21 07:58:02
725450,1,714216,3628996,2015-06-22 14:03:16
725450,1,713489,3629017,2015-06-22 14:03:37
717278,1,725450,3751109,2015-06-23 23:58:29
725450,1,716578,3760235,2015-06-24 02:30:35
694471,1,725450,3935252,2015-06-26 03:07:32
738389,1,725450,4013551,2015-06-27 00:52:31
725450,1,731541,4043905,2015-06-27 09:18:25
704905,1,725450,4043943,2015-06-27 09:19:03
725450,1,704281,4054315,2015-06-27 12:11:55
725450,1,729619,4067133,2015-06-27 15:45:33
731285,1,725450,4100380,2015-06-28 00:59:40
725450,1,717767,4100392,2015-06-28 00:59:52
725450,1,713814,4151440,2015-06-28 15:10:40
716262,1,725450,4151449,2015-06-28 15:10:49
725450,1,703977,4338953,2015-06-30 19:15:53
704666,1,725450,4414289,2015-07-01 16:11:29
725450,1,706845,4706018,2015-07-05 01:13:38
741956,1,725450,4777333,2015-07-05 21:02:13
725450,1,706704,4993896,2015-07-08 09:11:36
725450,1,714643,4993922,2015-07-08 09:12:02
725450,1,725012,5148751,2015-07-10 04:12:31
714361,1,725450,5271726,2015-07-11 14:22:06
739364,1,725450,5299129,2015-07-11 21:58:49
725450,1,739557,5299141,2015-07-11 21:59:01
727947,1,725450,5310617,2015-07-12 01:10:17
725450,1,715126,5827965,2015-07-18 00:52:45
712659,1,725450,5889386,2015-07-18 17:56:26
681624,1,725450,6131897,2015-07-21 13:18:17
725450,1,707367,6131915,2015-07-21 13:18:35
725450,1,713275,6304659,2015-07-23 13:17:39
270137,1,725450,6304681,2015-07-23 13:18:01
725450,1,716462,6438883,2015-07-25 02:34:43
736423,1,725450,6548157,2015-07-26 08:55:57
723524,1,725450,6559086,2015-07-26 11:58:06
725450,1,742350,6606326,2015-07-27 01:05:26
725450,1,678478,6606331,2015-07-27 01:05:31
725450,1,716398,6680938,2015-07-27 21:48:58
725450,1,737926,6726541,2015-07-28 10:29:01
736140,1,725450,6916625,2015-07-30 15:17:05
702406,1,725450,7125059,2015-08-02 01:10:59
725450,1,711540,7296280,2015-08-04 00:44:40
743131,1,725450,7303539,2015-08-04 02:45:39
725450,1,1376868,7303557,2015-08-04 02:45:57
677243,1,725450,7423816,2015-08-05 12:10:16
725450,1,732276,7482782,2015-08-06 04:33:02
713736,1,725450,7482801,2015-08-06 04:33:21
725450,2,2040565,1108038,2015-05-24 09:47:18
725450,2,2040565,1967602,2015-06-03 08:33:22
